Time(s),Count
0.03,1
0.17,2
0.20,3
0.23,4
0.27,5
0.27,6
0.30,7
0.37,8
0.37,9
0.53,10
0.57,11
0.67,12
0.73,13
0.83,14
0.83,15
0.87,16
0.90,17
0.90,18
0.93,19
1.00,20
1.00,21
1.03,22
1.23,23
1.33,24
1.57,25
1.57,26
1.63,27
1.63,28
1.70,29
2.00,30
2.07,31
2.13,32
2.13,33
2.20,34
2.27,35
2.40,36
2.43,37
2.53,38
2.67,39
2.73,40
2.80,41
2.83,42
2.90,43
2.90,44
2.93,45
3.00,46
3.00,47
3.03,48
3.07,49
3.10,50
3.20,51
3.33,52
3.40,53
3.43,54
3.47,55
3.53,56
3.57,57
3.67,58
3.87,59
3.90,60
3.97,61
4.00,62
4.10,63
4.13,64
4.20,65
4.43,66
4.47,67
4.53,68
4.53,69
4.73,70
4.73,71
4.73,72
4.80,73
4.87,74
4.90,75
4.90,76
4.93,77
5.03,78
5.13,79
5.33,80
5.37,81
5.37,82
5.40,83
5.47,84
5.50,85
5.60,86
5.67,87
5.70,88
5.77,89
5.83,90
5.93,91
5.93,92
6.13,93
6.23,94
6.43,95
6.43,96
6.50,97
6.57,98
6.67,99
6.70,100
6.80,101
6.80,102
6.87,103
6.90,104
7.00,105
7.07,106
7.10,107
7.27,108
7.30,109
7.33,110
7.37,111
7.53,112
7.67,113
7.67,114
7.87,115
7.90,116
7.93,117
8.10,118
8.13,119
8.17,120
8.30,121
8.33,122
8.57,123
8.73,124
8.77,125
8.80,126
8.80,127
8.83,128
8.93,129
9.10,130
9.10,131
9.10,132
9.13,133
9.13,134
9.27,135
9.27,136
9.37,137
9.43,138
9.77,139
9.80,140
9.87,141
9.93,142
9.93,143
9.97,144
10.03,145
10.10,146
10.13,147
10.23,148
10.57,149
10.57,150
10.57,151
10.60,152
10.60,153
10.73,154
10.77,155
10.80,156
10.90,157
11.07,158
11.10,159
11.17,160
11.20,161
11.30,162
11.33,163
11.37,164
11.40,165
11.47,166
11.50,167
11.50,168
11.63,169
11.67,170
11.77,171
11.83,172
