Time(s),Count
0.03,1
0.13,2
0.20,3
0.23,4
0.27,5
0.30,6
0.37,7
0.43,8
0.50,9
0.57,10
0.60,11
0.70,12
0.73,13
0.80,14
0.80,15
0.93,16
0.97,17
1.00,18
1.00,19
1.03,20
1.03,21
1.13,22
1.30,23
1.30,24
1.57,25
1.63,26
1.67,27
1.80,28
1.83,29
1.90,30
2.00,31
2.03,32
2.20,33
2.20,34
2.40,35
2.53,36
2.60,37
2.73,38
2.80,39
2.87,40
2.87,41
2.90,42
3.00,43
3.10,44
3.13,45
3.20,46
3.30,47
3.33,48
3.37,49
3.37,50
3.43,51
3.47,52
3.53,53
3.87,54
3.90,55
3.90,56
3.97,57
4.20,58
4.27,59
4.43,60
4.47,61
4.47,62
4.50,63
4.63,64
4.70,65
4.73,66
4.73,67
4.77,68
4.80,69
4.90,70
4.90,71
5.03,72
5.10,73
5.10,74
5.30,75
5.33,76
5.33,77
5.47,78
5.50,79
5.63,80
5.63,81
5.63,82
5.67,83
5.77,84
5.87,85
5.90,86
5.93,87
6.03,88
6.03,89
6.20,90
6.27,91
6.43,92
6.47,93
6.53,94
6.70,95
6.80,96
6.80,97
6.83,98
6.87,99
6.87,100
6.93,101
7.00,102
7.07,103
7.10,104
7.10,105
7.13,106
7.30,107
7.37,108
7.40,109
7.43,110
7.57,111
7.57,112
7.67,113
7.70,114
7.70,115
7.70,116
7.70,117
7.77,118
7.87,119
8.13,120
8.17,121
8.23,122
8.43,123
8.60,124
8.73,125
8.80,126
8.87,127
8.93,128
9.03,129
9.10,130
9.10,131
9.13,132
9.13,133
9.13,134
9.30,135
9.43,136
9.57,137
9.67,138
9.70,139
9.80,140
9.87,141
9.93,142
9.93,143
10.00,144
10.10,145
10.20,146
10.50,147
10.53,148
10.57,149
10.60,150
10.60,151
10.80,152
10.83,153
10.83,154
11.10,155
11.13,156
11.13,157
11.17,158
11.17,159
11.33,160
11.37,161
11.37,162
11.43,163
11.50,164
11.60,165
11.67,166
